USID	LATITUDE	LONGITUDE
60348	33.50576424	-86.8070186
36599	33.37425621	-86.91314362
60262	33.53893725	-86.85776262
60290	33.53317125	-86.68715557
60359	33.50381225	-86.71786557
78927	33.36796722	-86.73793757
60308	33.54667326	-86.74361558
60324	33.36015721	-86.8256456
60323	33.58564527	-86.67181056
60312	33.40606222	-86.96064364
60350	33.46946224	-86.8218216
81837	33.54445025	-86.97392165
60311	33.51675625	-86.77936559
83433	33.44867323	-86.76900759
60341	33.52695025	-86.68111056
60309	33.62140627	-86.76189359
60342	33.48674324	-86.75309558
130769	33.37784249	-86.80779673
147125	33.51172325	-86.79209059
36675	33.39231222	-86.71619857
36693	33.42461733	-86.63975455
60250	33.44725323	-86.73446258
60298	33.57641426	-86.92379664
60336	33.41784823	-86.67607956
60249	33.53564525	-86.77125459
60267	33.49342224	-86.95337764
137885	33.49912684	-86.86554932
60272	33.5001964	-86.79439118
60282	33.40950622	-86.80130859
60291	33.45163723	-86.8174106
60289	33.42639523	-86.68750456
36578	33.46868424	-86.76073258
147920	33.60013727	-86.72276858
60319	33.63009828	-86.62238555
36625	33.58739526	-86.8073106
78925	33.62700067	-86.70574628
78920	33.56415926	-86.72921858
36691	33.52706225	-86.8236986
60274	33.61881227	-86.65231056
128044	33.60879227	-86.63448455
128107	33.50753424	-86.8140966
60284	33.47909224	-86.77671159
60338	33.52981225	-86.73528558
60278	33.54095025	-86.8075606
60307	33.49958924	-86.88542162
36581	33.45046123	-86.78738159
60268	33.44736723	-86.8345876
60329	33.43950623	-86.72845157
123244	33.50128725	-86.75568758
60351	33.51445024	-86.89806063
36569	33.50698425	-86.67971956
36626	33.60861727	-86.7992826
60265	33.46172123	-86.84187961
60286	33.51861525	-86.8198986
60332	33.37797822	-86.66994855
36574	33.43056223	-86.74114358
60285	33.49503424	-86.8184486
60344	33.65025628	-86.81698261
60287	33.45917323	-87.00750465
60328	33.36283921	-86.78469859
36713	33.37914502	-86.81086569
60356	33.4760006	-86.91983481
102636	33.55554626	-86.56736453
36709	33.59183927	-86.56475453
172838	33.48007209	-86.78769459
60335	33.56953126	-86.76038559
36687	33.42517323	-86.70894857
128099	33.49648997	-86.80074093
60305	33.51542525	-86.8041966
78929	33.39922843	-86.66476285
36600	33.40681222	-86.87989361
60258	33.46858924	-86.78886559
60261	33.48470024	-86.89061562
60315	33.47607524	-86.87208762
129300	33.39839522	-86.77086558
36611	33.44494512	-86.8612685
60358	33.56180026	-86.8005326
60310	33.56314525	-86.89558763
60357	33.34545021	-86.78933759
128114	33.38928522	-86.80475459
60304	33.43390922	-86.95306064
60314	33.48870024	-86.83871261
60320	33.63565928	-86.68290457
36627	33.62770027	-86.81875461
60327	33.43400623	-86.71425457
78910	33.52920025	-86.7918376
78930	33.41875925	-86.79798879
60288	33.34889521	-86.79889359
60248	33.39481222	-86.93453263
60260	33.55156226	-86.63639355
86385	33.52189525	-86.84325461
86201	33.59139226	-86.85828762
36638	33.56250626	-86.70167157
60253	33.51740225	-86.74886258
60280	33.58711727	-86.69892157
60275	33.43870023	-86.79092159
170849	33.51622025	-86.75132358
60362	33.42778123	-86.8216686
60369	33.45627823	-86.88226562
60322	33.34120021	-86.75283758
60355	33.48906224	-86.86520161
78909	33.50410624	-86.85040461
36705	33.55583925	-86.83222661
78922	33.50620025	-86.78108759
36577	33.47770524	-86.62656855
85508	33.37536422	-86.80052959
36677	33.36725622	-86.71606057
60339	33.39339522	-86.8468106
104241	33.36364521	-86.85408761
60269	33.53268426	-86.58429654
168997	33.51128524	-86.84024461
128452	33.51141824	-86.84545561
156838	33.50526624	-86.8271546
78911	33.46689523	-86.90700463
60330	33.47892324	-86.8266156
36674	33.37561844	-86.75542616
172991	33.43336637	-86.71940419
60349	33.51984144	-86.80733413
60313	33.45418923	-86.92407363
42245	33.39895022	-86.73708757
60302	33.42553423	-86.77161558
129559	33.50535824	-86.8059466
78907	33.38445022	-86.79472659
60340	33.46264524	-86.71342157
151934	33.58986426	-86.7878036
36698	33.53330625	-86.93850464
36643	33.61292927	-86.61248155
60321	33.53645625	-86.71667957
146026	33.36589954	-86.81390626
87877	33.41787323	-86.8321346
169573	33.52979825	-86.8102656
60251	33.41931222	-86.84814361
60277	33.49091425	-86.70317657

